# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
7.050000000000000000e+01 1.721920100381554676e+03 -6.205795716268193374e+00 1.948181696830935672e-01 -6.205795716268193374e+00 1.948181696830935672e-01 3.722045094220839401e-01 -4.001797951614027675e-03 -4.001797951614027675e-03 1.212571069902701991e-02
1.065000000000000000e+02 2.840863310139046462e+03 -2.713854459914483641e+01 1.810077072412699994e+00 -2.713854459914483641e+01 1.810077072412699994e+00 8.833136353185447875e-01 -1.824511446692637581e-02 -1.824511446692638275e-02 5.892166517592177348e-03
1.425000000000000000e+02 4.165711625401968377e+03 -4.278841599712303179e+01 7.125802689457449990e-03 -4.278841599712303179e+01 7.125802689457449990e-03 1.051645696704930577e+00 -7.012895969247407921e-03 -7.012895969247405319e-03 -2.598521084791148919e-02
1.785000000000000000e+02 4.992477710372772890e+03 -3.565156921068538054e+01 -1.282972922695782447e+00 -3.565156921068538054e+01 -1.282972922695782447e+00 8.347916148685118332e-01 3.614464508718895353e-02 3.614464508718896046e-02 5.701638248834467980e-03
2.145000000000000000e+02 5.581692181601506491e+03 5.991449428109348219e+00 3.456523052842057075e-01 5.991449428109348219e+00 3.456523052842057075e-01 7.863377841312905181e-01 -1.454097598815733486e-02 -1.454097598815733486e-02 5.039329727463839892e-02
2.505000000000000000e+02 5.397504179543507234e+03 6.498624923144012655e+01 -3.185157854255072918e-01 6.498624923144012655e+01 -3.185157854255072918e-01 2.517497086304287812e+00 1.651754196747764851e-03 1.651754196747765718e-03 9.431349676283029906e-03
2.865000000000000000e+02 4.584418721587549044e+03 1.131212640373695137e+02 2.391043421613575637e-02 1.131212640373695137e+02 2.391043421613575637e-02 7.163630749468375747e+00 3.802469236428280414e-02 3.802469236428278332e-02 4.507783997655594177e-02
3.225000000000000000e+02 3.294239074017547864e+03 1.111978235805916313e+02 -3.847908279819086674e-01 1.111978235805916313e+02 -3.847908279819086674e-01 1.310153254704393788e+01 -2.981135651465129793e-02 -2.981135651465131875e-02 2.707345556168305398e-02
3.585000000000000000e+02 2.337277439575084827e+03 7.714809422861338817e+01 1.483246745788360799e-01 7.714809422861338817e+01 1.483246745788360799e-01 1.914677722233714263e+01 -3.820120785329138291e-03 -3.820120785329138291e-03 2.521637752704344176e-02
3.945000000000000000e+02 1.809446033973658359e+03 8.429242166515392043e+00 -2.903486340940451549e-01 8.429242166515392043e+00 -2.903486340940451549e-01 2.166999705324137793e+01 -2.433433178195617066e-02 -2.433433178195615679e-02 4.079432716483649690e-02
4.305000000000000000e+02 1.797502395346081812e+03 -4.751712699343707413e+01 1.105067209672177253e-01 -4.751712699343707413e+01 1.105067209672177253e-01 1.909364999887483094e+01 2.051385117626621304e-02 2.051385117626621651e-02 1.711811964475680806e-02
4.665000000000000000e+02 2.172753661253418159e+03 -7.497513190258928262e+01 1.961665435873963595e-02 -7.497513190258928262e+01 1.961665435873963595e-02 1.353236971908894404e+01 -1.537148533317862949e-02 -1.537148533317863990e-02 9.106884498943206008e-02
5.025000000000000000e+02 2.458485522486460468e+03 -5.664224498442013100e+01 -1.816853421187556716e-01 -5.664224498442013100e+01 -1.816853421187556716e-01 8.057744285736561096e+00 -3.111973301030921540e-02 -3.111973301030921193e-02 9.206284150505164576e-02
5.385000000000000000e+02 2.609163705684758952e+03 -1.410457682220656395e+01 -7.389931507669058597e-01 -1.410457682220656395e+01 -7.389931507669058597e-01 7.305242886555847193e+00 7.867386392590766664e-02 7.867386392590765276e-02 2.512024048349300112e-02
5.745000000000000000e+02 2.393371959673866513e+03 2.478534522997676959e+01 6.212942536156882412e-01 2.478534522997676959e+01 6.212942536156882412e-01 1.300015895147367573e+01 -3.683712037678261997e-02 -3.683712037678261997e-02 1.214921978219174192e-01
6.105000000000000000e+02 2.110049532354637904e+03 2.276226408782039456e+01 -4.630030830242315432e-01 2.276226408782039456e+01 -4.630030830242315432e-01 2.292859624394720086e+01 -5.278681417704055717e-02 -5.278681417704055717e-02 1.765902951919616493e-02
6.465000000000000000e+02 1.874107719632254884e+03 -1.028721677984617600e+01 1.312711044426168039e-01 -1.028721677984617600e+01 1.312711044426168039e-01 3.262408754835831814e+01 -6.359985052193903310e-02 -6.359985052193901922e-02 1.031424620745100551e-01
6.825000000000000000e+02 1.853498416063181594e+03 -7.206035216518071707e+01 -7.369186456695586696e-02 -7.206035216518071707e+01 -7.369186456695586696e-02 3.765837855576781834e+01 -3.660140018409199780e-02 -3.660140018409202556e-02 7.453665824217174662e-02
7.185000000000000000e+02 1.982275598938831536e+03 -1.174836645116913161e+02 -3.853007560904145312e-02 -1.174836645116913161e+02 -3.853007560904145312e-02 3.442768791664863670e+01 7.760279603115297076e-02 7.760279603115294300e-02 4.053456781673295956e-02
7.545000000000000000e+02 2.243025479527052539e+03 -1.304360840324280844e+02 4.199854418098127318e-01 -1.304360840324280844e+02 4.199854418098127318e-01 2.633820708347430184e+01 -3.211175357417694887e-02 -3.211175357417697662e-02 1.105831207316071430e-01
7.905000000000000000e+02 2.522889191045688221e+03 -1.030470469450175131e+02 6.777904651446142736e-01 -1.030470469450175131e+02 6.777904651446142736e-01 1.713306318946370155e+01 3.373991109556743334e-02 3.373991109556744722e-02 6.976461695965470444e-02
8.265000000000000000e+02 2.540430944615991393e+03 -4.115199717619997699e+01 4.368821472601256972e-01 -4.115199717619997699e+01 4.368821472601256972e-01 1.264930570264952792e+01 1.138576909098308956e-02 1.138576909098309650e-02 1.438501299681569923e-01
8.625000000000000000e+02 2.290223243598022691e+03 1.854258240109125211e+01 6.111832176195413080e-01 1.854258240109125211e+01 6.111832176195413080e-01 1.501791365540388057e+01 4.152223243439654571e-02 4.152223243439655265e-02 1.101230156246618408e-01
8.985000000000000000e+02 1.955127409050428469e+03 5.271844315982897200e+01 -3.766891007178907458e-01 5.271844315982897200e+01 -3.766891007178907458e-01 2.339486467321760088e+01 -9.608959430875314844e-03 -9.608959430875321783e-03 1.670726538091591440e-01
9.345000000000000000e+02 1.498014884188763972e+03 5.123690155347459552e+01 -4.490122314698796746e-02 5.123690155347459552e+01 -4.490122314698796746e-02 3.391382335509040047e+01 6.683751243065388925e-03 6.683751243065394129e-03 -6.853054902883444141e-03
9.705000000000000000e+02 1.204474204908321326e+03 1.323326456915935267e+01 -8.993923375208516813e-01 1.323326456915935267e+01 -8.993923375208516813e-01 4.070754666153268886e+01 -1.707351409221341543e-02 -1.707351409221340849e-02 7.504653615741505024e-02
1.006500000000000000e+03 1.062692371183092973e+03 -3.156965599366772679e+01 -2.196751741609049846e-01 -3.156965599366772679e+01 -2.196751741609049846e-01 4.142852548002556290e+01 1.112506456685730810e-01 1.112506456685730671e-01 3.156026033303594575e-02
1.042500000000000000e+03 1.065593693137198670e+03 -6.651541401736139392e+01 -1.745803773395798453e-01 -6.651541401736139392e+01 -1.745803773395798453e-01 3.475189833971538178e+01 1.284640973311962919e-01 1.284640973311962364e-01 8.804014319892472518e-02
1.078500000000000000e+03 1.168343737369115615e+03 -7.701603113889638053e+01 -4.498052042952462859e-01 -7.701603113889638053e+01 -4.498052042952462859e-01 2.572921018173007823e+01 -4.144613285664523056e-02 -4.144613285664524444e-02 9.865611132603854805e-02
1.114500000000000000e+03 1.223056007318493812e+03 -5.997373116675819915e+01 -6.951253651169603254e-01 -5.997373116675819915e+01 -6.951253651169603254e-01 1.735509684699438182e+01 1.996199937521708420e-02 1.996199937521707726e-02 1.243474040593759711e-01
1.150500000000000000e+03 1.214115052357461764e+03 -2.868209006002877004e+01 -4.697487767635745715e-01 -2.868209006002877004e+01 -4.697487767635745715e-01 1.369032915453791688e+01 2.405931559837952774e-02 2.405931559837955203e-02 6.294568551132413703e-02
1.186500000000000000e+03 1.115927665825301801e+03 -2.076254336596062178e+00 -6.303029896922078823e-01 -2.076254336596062178e+00 -6.303029896922078823e-01 1.548880680954454547e+01 1.859159798802791086e-02 1.859159798802791086e-02 1.869511860926286739e-01
1.222500000000000000e+03 9.555504081896982598e+02 6.212974743217243301e+00 -6.231863421293017125e-02 6.212974743217243301e+00 -6.231863421293017125e-02 2.147673540130580605e+01 8.322012026795835848e-02 8.322012026795841400e-02 1.339176327625336838e-01
1.258500000000000000e+03 8.063885206559729113e+02 -4.816525430521204854e+00 3.394804860092597298e-01 -4.816525430521204854e+00 3.394804860092597298e-01 2.757595014326218674e+01 -5.939686992712674141e-02 -5.939686992712674141e-02 1.202372290469588684e-01
1.294500000000000000e+03 7.361922678399952247e+02 -2.865605204236896952e+01 4.768271097237597456e-03 -2.865605204236896952e+01 4.768271097237597456e-03 3.060129427972264793e+01 -2.151175470746218010e-03 -2.151175470746211071e-03 5.420050048796750536e-02
1.330500000000000000e+03 7.326116885042340527e+02 -5.014117454759204406e+01 -7.138038093801777340e-01 -5.014117454759204406e+01 -7.138038093801777340e-01 2.835052008090296383e+01 9.039004068925779456e-02 9.039004068925779456e-02 1.063206189072050667e-01
1.366500000000000000e+03 7.837111362860102872e+02 -6.132651276136553520e+01 -5.255738586269063095e-01 -6.132651276136553520e+01 -5.255738586269063095e-01 2.350242946905878583e+01 5.667691978374969630e-02 5.667691978374968936e-02 1.438681948694770230e-01
1.402500000000000000e+03 8.171688647063907638e+02 -5.338577113696941012e+01 -1.639783517886909681e-01 -5.338577113696941012e+01 -1.639783517886909681e-01 1.690618522871527318e+01 5.643354543951212277e-02 5.643354543951212277e-02 1.755609904469038474e-01
1.438500000000000000e+03 8.089896230613312582e+02 -3.381071999058411848e+01 5.473621955675260775e-01 -3.381071999058411848e+01 5.473621955675260775e-01 1.241953289471363853e+01 -2.561715510089179748e-01 -2.561715510089180303e-01 6.700918882176579161e-02
