#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      5     1182.6792    0.010399381 3.0003153 0.99796029 0.022891871 0.10159135 1.1746779 2.0091872e-09 74.593673     -19.847797        -19.847797  2405.054    2405.054
      1     1099.5104    0.010399303 3.0006863 0.99191839 0.022894543 0.10289705 1.1969323 2.0099326e-09 74.034547     -19.847797        -19.847797 2238.7164   2238.7164
      1      1076.427     0.01039895 3.0012845 0.99377596 0.022896806 0.10300206 1.2076284 2.0111354e-09 73.979642     -19.847797        -19.847797 2192.5496   2192.5496
      2     1072.6397    0.010400821 3.0015665 0.99321276 0.022914677 0.10255863 1.2188659 2.0117026e-09 74.247477     -19.847797        -19.847797  2184.975    2184.975
      1     1051.8197    0.010401997 3.0030916 0.99402498 0.022885995 0.10279831 1.2179289 2.0147729e-09   74.1629     -19.847797        -19.847797  2143.335    2143.335
      1     1052.2153    0.010401963 3.0006153 0.99390529 0.022873225 0.10264864 1.2239721 2.0097899e-09 74.215017     -19.847797        -19.847797 2144.1261   2144.1261
      3     1051.7252    0.010401211  3.000145 0.99450127 0.022873354 0.10266362 1.2282678  2.008845e-09 74.182676     -19.847797        -19.847797 2143.1461   2143.1461
      3     1051.7896    0.010401285  3.000738 0.99561783  0.02285246 0.10265067 1.2272185 2.0100365e-09 74.173771     -19.847797        -19.847797 2143.2748   2143.2748
      3     1046.5381    0.010401284 3.0009554 0.99551731 0.022848664 0.10274014 1.2290959 2.0104737e-09 74.132547     -19.847797        -19.847797 2132.7719   2132.7719
      3     1044.2259    0.010401469 3.0010708 0.99537637 0.022850596  0.1027437 1.2298777 2.0107057e-09 74.139022     -19.847797        -19.847797 2128.1473   2128.1473
      6     1034.4575    0.010401136 3.0013264 0.99558993 0.022852867 0.10306603 1.2257613 2.0112196e-09 73.992524     -19.847797        -19.847797 2108.6107   2108.6107
      1     1033.7399     0.01040113 3.0003611 0.99497747 0.022849359 0.10309336 1.2224508 2.0092792e-09 73.977869     -19.847797        -19.847797 2107.1754   2107.1754
      1     1034.2613    0.010401795 3.0000141  0.9952032 0.022857095 0.10297066 1.2200833 2.0085821e-09 74.059208     -19.847797        -19.847797 2108.2182   2108.2182
      7      1023.679    0.010401896 3.0002272 0.99484506 0.022861021  0.1031765 1.2198839   2.00901e-09 73.978676     -19.847797        -19.847797 2087.0535   2087.0535
      1     1007.2538      0.0104027  3.003951   0.993585 0.022833351 0.10343632 1.2304519 2.0165052e-09 73.874242     -19.847797        -19.847797 2054.2033   2054.2033
      2     1006.9903    0.010402521 3.0038287 0.99316853 0.022835897 0.10341923 1.2344909 2.0162585e-09 73.877321     -19.847797        -19.847797 2053.6763   2053.6763
      1     999.27911    0.010402717  3.004823 0.99243883 0.022840878 0.10375809 1.2223731 2.0182644e-09 73.745483     -19.847797        -19.847797 2038.2538   2038.2538
      1     991.89211    0.010403432 3.0078034 0.99213331 0.022843458 0.10404197  1.236037 2.0242885e-09 73.653242     -19.847797        -19.847797 2023.4798   2023.4798
      1     992.67421    0.010403445 3.0078338 0.99213347 0.022843561  0.1040296 1.2359316 2.0243501e-09  73.65894     -19.847797        -19.847797  2025.044    2025.044
      1     988.98954    0.010404007 3.0082516 0.99178527 0.022803181 0.10403307 1.2324931 2.0251961e-09 73.643983     -19.847797        -19.847797 2017.6747   2017.6747
1  972.7262 0.010404679 3.0072832 0.99157512 0.022805554 0.10406893 1.2330564 2.0232357e-09 73.654133 -19.847797 -19.847797  1985.148  1985.148
1 972.43569 0.010404721 3.0073143 0.99202796 0.022805544 0.10408614   1.23269 2.0232987e-09 73.648386 -19.847797 -19.847797  1984.567  1984.567
1 931.06415 0.010405482 3.0052542 0.98880544 0.022822878 0.10486155 1.2423301 2.0191349e-09 73.365653 -19.847797 -19.847797 1901.8239 1901.8239
6 923.45361 0.010406645 3.0058749 0.98947074 0.022831623 0.10479237 1.2389102 2.0203884e-09 73.441658 -19.847797 -19.847797 1886.6028 1886.6028
