#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens         tau     a_tSZ     a_kSZ       a_p    beta_p       a_c    beta_c       a_s            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      3     791.78753    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845 3.3328568  1.704855 6.6803347 2.1175805 5.2682333 2.1143624 3.1051921 2.0264817e-09 69.070752       -25.0932          -25.0932 1633.7615   1633.7615
      3     791.82242    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845  3.332458 1.7070093 6.6817993 2.1172289 5.2678551 2.1143047 3.1056786 2.0264817e-09 69.070752       -25.0932          -25.0932 1633.8313   1633.8313
     59     791.65208    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845 3.3349799 1.7037938 6.6768201 2.1176937 5.2708016  2.113724   3.10606 2.0264817e-09 69.070752       -25.0932          -25.0932 1633.4906   1633.4906
      6     791.65074    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845 3.3348835 1.7040248 6.6766346 2.1177277 5.2711937 2.1135687 3.1060514 2.0264817e-09 69.070752       -25.0932          -25.0932 1633.4879   1633.4879
      7     792.62275    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845 3.3393536 1.6700208 6.6679808 2.1210497 5.2795555 2.1031801 3.1028299 2.0264817e-09 69.070752       -25.0932          -25.0932 1635.4319   1635.4319
     12     792.89241    0.010415206 3.0088862 0.97623977 0.022242091 0.11548991  1.129025 0.043616845 3.3339301 1.6790085 6.6710255 2.1205782 5.2750884 2.1031534 3.1044294 2.0264817e-09 69.070752       -25.0932          -25.0932 1635.9712   1635.9712
     18     792.76836    0.010414755 3.0110896 0.97549563 0.022293678  0.1159319 1.1431407  0.04491343 3.3339301 1.6790085 6.6710255 2.1205782 5.2750884 2.1031534 3.1044294 2.0309518e-09 68.935793     -25.339789        -25.339789 1636.2163   1636.2163
     13     791.39379    0.010414863 3.0115474 0.97545349    0.022293 0.11594499 1.1405358 0.044693521 3.3339301 1.6790085 6.6710255 2.1205782 5.2750884 2.1031534 3.1044294 2.0318817e-09 68.934086     -25.300188        -25.300188  1633.388    1633.388
     10     792.21827    0.010414863 3.0115474 0.97545349    0.022293 0.11594499 1.1405358 0.044693521 3.3198043 1.6684644 6.6500495 2.1235219  5.305783 2.1069715 3.1128562 2.0318817e-09 68.934086     -25.300188        -25.300188 1635.0369   1635.0369
     11     789.96385    0.010413791  3.012294 0.97305378 0.022309041 0.11671551 1.1338932 0.043538038 3.3198043 1.6684644 6.6500495 2.1235219  5.305783 2.1069715 3.1128562 2.0333992e-09 68.630442     -25.077196        -25.077196 1630.0821   1630.0821
