#weight  minuslogpost  cosmomc_theta      logA        ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      1     3556.9108    0.010385813 3.0486669 1.0193524 0.018401537  0.1344723 1.0939527 2.1087214e-09 58.766103     -19.847797        -19.847797 7153.5172   7153.5172
      1     3556.9069    0.010385814 3.0486663 1.0193531 0.018401579 0.13447212  1.093975 2.1087201e-09   58.7662     -19.847797        -19.847797 7153.5095   7153.5095
      1     3553.6975    0.010385787 3.0488444  1.019033 0.018403209 0.13444979 1.0932035 2.1090957e-09 58.773342     -19.847797        -19.847797 7147.0906   7147.0906
      2     3553.7645    0.010385991 3.0487967 1.0187507 0.018401946 0.13447813 1.0940694 2.1089951e-09 58.770217     -19.847797        -19.847797 7147.2245   7147.2245
      1     3529.1067    0.010386601 3.0488344 1.0194529 0.018405389  0.1342966 1.0890367 2.1090747e-09 58.846951     -19.847797        -19.847797  7097.909    7097.909
      2     3485.6792    0.010386899 3.0489814 1.0201758 0.018427876 0.13539461 1.0779341 2.1093847e-09 58.541764     -19.847797        -19.847797  7011.054    7011.054
      3     3477.9947    0.010385886 3.0470747 1.0216201  0.01842795 0.13584056 1.0730834 2.1053667e-09 58.376515     -19.847797        -19.847797  6995.685    6995.685
      4     3413.5839     0.01038766 3.0444547 1.0261517  0.01842011 0.13523753 1.0615646 2.0998578e-09 58.607089     -19.847797        -19.847797 6866.8633   6866.8633
      3     3379.5545    0.010387949 3.0456602 1.0270004 0.018451748 0.13500019 1.0554391 2.1023906e-09 58.711032     -19.847797        -19.847797 6798.8045   6798.8045
      1     3353.5569    0.010388834 3.0436516 1.0285483 0.018452854 0.13509411 1.0563075 2.0981721e-09 58.711394     -19.847797        -19.847797 6746.8094   6746.8094
      1     3300.0792    0.010388559  3.043211  1.027519 0.018468345  0.1352121 1.0475029 2.0972478e-09 58.678737     -19.847797        -19.847797  6639.854    6639.854
      1     3289.6547    0.010388907 3.0417912 1.0293648  0.01847151 0.13546134 1.0457537 2.0942722e-09 58.617189     -19.847797        -19.847797 6619.0051   6619.0051
      1     3279.3373    0.010391074 3.0425721 1.0269177 0.018474136 0.13597318  1.050893 2.0959083e-09   58.5341     -19.847797        -19.847797 6598.3702   6598.3702
      1     3280.0699    0.010391039 3.0424502 1.0268365 0.018473375  0.1359904 1.0511149 2.0956527e-09 58.527301     -19.847797        -19.847797 6599.8355   6599.8355
      1     3271.3419    0.010391135   3.04165 1.0266577 0.018480049 0.13582922   1.05545 2.0939765e-09 58.583413     -19.847797        -19.847797 6582.3794   6582.3794
      2     3271.5223    0.010392691 3.0384953 1.0255644  0.01845082 0.13496072 1.0314225 2.0873811e-09 58.871417     -19.847797        -19.847797 6582.7401   6582.7401
      6     3249.9051    0.010394235 3.0365388 1.0270771 0.018458129 0.13501309 1.0239065 2.0833012e-09 58.909652     -19.847797        -19.847797 6539.5057   6539.5057
      2        3226.2    0.010394228 3.0344139 1.0281241 0.018475592 0.13516749 1.0036376  2.078879e-09  58.87589     -19.847797        -19.847797 6492.0956   6492.0956
      1     3173.9818    0.010392062 3.0371653 1.0263459    0.018498 0.13570776  1.003013 2.0846066e-09  58.66224     -19.847797        -19.847797 6387.6592   6387.6592
      2     3163.8291    0.010391671 3.0373109 1.0266624 0.018500876 0.13534117 1.0023207 2.0849103e-09 58.761982     -19.847797        -19.847797 6367.3538   6367.3538
1 3140.2288 0.010391171 3.0379831 1.0273519 0.018514404 0.13540653  1.0191902 2.0863122e-09 58.736696 -19.847797 -19.847797 6320.1532 6320.1532
1  3127.215   0.0103899 3.0401942 1.0287759 0.018516015 0.13546675  1.0099458 2.0909303e-09 58.679863 -19.847797 -19.847797 6294.1256 6294.1256
4 3109.1315 0.010390453 3.0396952 1.0305181 0.018524284 0.13575258  1.0072168 2.0898873e-09 58.617773 -19.847797 -19.847797 6257.9586 6257.9586
8 3103.6561  0.01039037 3.0387169 1.0297866 0.018518682 0.13562171  1.0023528 2.0878437e-09 58.650174 -19.847797 -19.847797 6247.0079 6247.0079
2 3103.4936 0.010390379 3.0387089 1.0297814 0.018518738  0.1356186  1.0023516 2.0878269e-09 58.651442 -19.847797 -19.847797 6246.6827 6246.6827
5 3050.2136 0.010388816 3.0364476 1.0296479 0.018556184 0.13536529 0.99171737 2.0831111e-09  58.70606 -19.847797 -19.847797 6140.1228 6140.1228
