#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
      6     4327.2606    0.010472058  3.043335 0.98574435 0.023680372  0.1378322 0.83469264 2.0975079e-09 64.845146     -19.847797        -19.847797 8694.2169   8694.2169
      6     4205.8437    0.010472249 3.0418923  0.9839839 0.023632287 0.13826896 0.82255721 2.0944839e-09 64.680828     -19.847797        -19.847797 8451.3831   8451.3831
      1     4133.4754    0.010471177 3.0410844 0.98403849 0.023621878 0.13811508 0.82336598 2.0927925e-09  64.68128     -19.847797        -19.847797 8306.6463   8306.6463
      1     4110.8083    0.010470488 3.0388465 0.98441043 0.023629672 0.13794099 0.82747222 2.0881143e-09 64.716401     -19.847797        -19.847797 8261.3123   8261.3123
      5     4111.2726    0.010469939 3.0398314 0.98437939 0.023633797  0.1380042 0.82932653 2.0901718e-09 64.683053     -19.847797        -19.847797 8262.2408   8262.2408
      2     4054.5481    0.010470254 3.0399971 0.98150384 0.023629173 0.13828718 0.82417421 2.0905182e-09 64.606253     -19.847797        -19.847797 8148.7918   8148.7918
      2     4033.3572    0.010469963  3.039986 0.98141071 0.023627758 0.13825649 0.82298061  2.090495e-09 64.604324     -19.847797        -19.847797 8106.4101   8106.4101
      3     4007.4051    0.010469886 3.0415786 0.98092054 0.023633148 0.13812538 0.82570333  2.093827e-09 64.645035     -19.847797        -19.847797 8054.5057   8054.5057
      1     4004.1038    0.010469978 3.0414379 0.98126449  0.02363359 0.13795939 0.82808215 2.0935325e-09 64.697407     -19.847797        -19.847797 8047.9032   8047.9032
      3     3829.9956    0.010467761 3.0416388 0.98056636 0.023639319 0.13745376 0.81992085 2.0939531e-09 64.777862     -19.847797        -19.847797 7699.6868   7699.6868
      1     3801.5008    0.010467671 3.0427774 0.98051327 0.023622367 0.13740202 0.82131158 2.0963386e-09 64.775427     -19.847797        -19.847797 7642.6971   7642.6971
      1      3639.769    0.010467361 3.0411679 0.98178465 0.023582656 0.13630588 0.81843037 2.0929673e-09 65.056886     -19.847797        -19.847797 7319.2335   7319.2335
      7     3605.0356    0.010466811 3.0436015 0.98127094 0.023578643 0.13621203 0.82513092 2.0980669e-09 65.063151     -19.847797        -19.847797 7249.7669   7249.7669
      1     3562.0812    0.010466804 3.0429792 0.98262938 0.023581326 0.13549963 0.82372526 2.0967616e-09 65.279345     -19.847797        -19.847797 7163.8579   7163.8579
      3     3556.8439    0.010466784 3.0430411 0.98258159 0.023579324 0.13548739 0.82401719 2.0968915e-09 65.280623     -19.847797        -19.847797 7153.3833   7153.3833
      2      3447.391    0.010466905 3.0409994 0.98025721 0.023592319 0.13506045 0.80915389 2.0926147e-09 65.425002     -19.847797        -19.847797 6934.4776   6934.4776
      1     3405.4861    0.010466069 3.0417483 0.98063509 0.023599304 0.13483806 0.81000608 2.0941823e-09 65.470535     -19.847797        -19.847797 6850.6677   6850.6677
      1     3401.7961    0.010466057 3.0417054 0.98056921 0.023598608 0.13482516 0.81045703 2.0940926e-09 65.473432     -19.847797        -19.847797 6843.2878   6843.2878
      2      3391.705    0.010466248 3.0433859  0.9781531 0.023612819 0.13503682  0.8166303 2.0976145e-09 65.428027     -19.847797        -19.847797 6823.1056   6823.1056
      1     3387.1475    0.010466414 3.0431312 0.97963032  0.02360097 0.13471676 0.81822121 2.0970804e-09 65.520347     -19.847797        -19.847797 6813.9906   6813.9906
 5 3383.8734  0.01046638 3.0434183 0.97963846 0.023603418 0.13466112 0.81955333 2.0976827e-09 65.538213 -19.847797 -19.847797 6807.4423 6807.4423
 4 3344.5561 0.010466163 3.0458008 0.98042949 0.023600448 0.13419355 0.81019178 2.1026862e-09 65.670811 -19.847797 -19.847797 6728.8079 6728.8079
 3 3265.8801 0.010465864 3.0458363 0.97938006 0.023583786 0.13393554 0.81846035 2.1027609e-09 65.725161 -19.847797 -19.847797 6571.4558 6571.4558
 1  3246.673 0.010466083 3.0477334 0.97850635 0.023606698 0.13344498 0.83037245 2.1067539e-09 65.902894 -19.847797 -19.847797 6533.0415 6533.0415
 7 3215.1563  0.01046489 3.0455434 0.97868247 0.023618582  0.1334518 0.83438357 2.1021452e-09 65.871144 -19.847797 -19.847797 6470.0082 6470.0082
 2 3184.6788 0.010464705 3.0455794 0.97773853 0.023621293   0.133477 0.83212842 2.1022209e-09 65.859556 -19.847797 -19.847797 6409.0532 6409.0532
 1 3156.5122 0.010463463 3.0479264  0.9778521 0.023625891 0.13317549 0.84404558 2.1071604e-09 65.914729 -19.847797 -19.847797   6352.72   6352.72
 1 3098.1255 0.010463352 3.0494678 0.97589985 0.023623854 0.13290695  0.8602088  2.110411e-09 65.992062 -19.847797 -19.847797 6235.9467 6235.9467
 1 3017.8146 0.010463119 3.0471563 0.97440916 0.023619468 0.13289337 0.86016117 2.1055384e-09  65.98465 -19.847797 -19.847797 6075.3248 6075.3248
 3 2982.4679 0.010461878 3.0483021 0.97483164 0.023585168 0.13311659  0.8584124 2.1079524e-09 65.844406 -19.847797 -19.847797 6004.6315 6004.6315
 4 2922.6341 0.010461721 3.0488615 0.97421204  0.02358544 0.13281426 0.85159165 2.1091319e-09 65.932726 -19.847797 -19.847797 5884.9637 5884.9637
 1 2920.8624 0.010461738 3.0489023  0.9741191 0.023586618 0.13280238 0.85167001 2.1092179e-09 65.937984 -19.847797 -19.847797 5881.4204 5881.4204
 2 2918.2468 0.010461713 3.0489295  0.9738741 0.023585055 0.13283048  0.8546009 2.1092753e-09 65.927099 -19.847797 -19.847797 5876.1891 5876.1891
 1 2877.0144 0.010461947  3.049329 0.97259807 0.023593652 0.13254106 0.85808636 2.1101182e-09 66.031969 -19.847797 -19.847797 5793.7244 5793.7244
 1 2869.5242 0.010461949 3.0496507 0.97300916 0.023592874 0.13238287 0.85424535  2.110797e-09 66.080441 -19.847797 -19.847797 5778.7439 5778.7439
 2 2851.5802 0.010461827 3.0499664 0.97318254 0.023579875  0.1322307 0.86028697 2.1114635e-09 66.112348 -19.847797 -19.847797 5742.8559 5742.8559
 4 2851.5175 0.010461611  3.050748 0.97300402 0.023580355 0.13228474 0.86004071 2.1131145e-09 66.088707 -19.847797 -19.847797 5742.7306 5742.7306
 1 2766.8975 0.010460907 3.0506856 0.97216483 0.023565791 0.13204871 0.85916263 2.1129827e-09 66.125887 -19.847797 -19.847797 5573.4905 5573.4905
11 2763.0435 0.010461222 3.0508672  0.9717949 0.023562885 0.13203829 0.85815457 2.1133664e-09 66.137188 -19.847797 -19.847797 5565.7826 5565.7826
 1 2761.1758 0.010461281 3.0506424 0.97189704  0.02355982 0.13199196 0.86022059 2.1128914e-09 66.150956 -19.847797 -19.847797 5562.0472 5562.0472
1 2740.3174 0.010461161   3.05083 0.97193947 0.023562212  0.1317683 0.85936637 2.1132876e-09 66.218753 -19.847797 -19.847797 5520.3304 5520.3304
1 2736.7148 0.010461099 3.0504823  0.9719065  0.02356341  0.1317701 0.85931095  2.112553e-09 66.217147 -19.847797 -19.847797 5513.1253 5513.1253
3 2716.8921 0.010461112 3.0511573 0.97001426 0.023574863 0.13178044 0.87040157 2.1139795e-09 66.224296 -19.847797 -19.847797 5473.4798 5473.4798
3 2716.6359 0.010461346 3.0509781 0.97037927 0.023578057 0.13153645 0.87420474 2.1136007e-09 66.311152 -19.847797 -19.847797 5472.9675 5472.9675
1 2676.2712 0.010461475 3.0523622 0.96938844  0.02357026 0.13133377 0.87227153 2.1165283e-09 66.372219 -19.847797 -19.847797  5392.238  5392.238
1 2628.8703 0.010460778 3.0527691 0.96979859 0.023580007  0.1306646 0.88271444 2.1173896e-09 66.567757 -19.847797 -19.847797 5297.4362 5297.4362
1  2438.247  0.01045822 3.0504441 0.96508729 0.023558706 0.13071046 0.87903539 2.1124724e-09 66.448957 -19.847797 -19.847797 4916.1895 4916.1895
7  2433.096  0.01045757 3.0521062 0.96523968 0.023571668 0.13087306 0.87377688 2.1159865e-09 66.387122 -19.847797 -19.847797 4905.8877 4905.8877
1 2420.8144 0.010457028 3.0521797  0.9641614 0.023552064 0.13129716 0.87464218  2.116142e-09 66.218765 -19.847797 -19.847797 4881.3244 4881.3244
4  2403.068 0.010457084 3.0522891 0.96361255 0.023549159 0.13114491 0.87955914 2.1163736e-09  66.26587 -19.847797 -19.847797 4845.8316 4845.8316
5 2394.6264 0.010457154  3.053296  0.9651472 0.023544767 0.13083834 0.87616304 2.1185054e-09 66.360807 -19.847797 -19.847797 4828.9483 4828.9483
1 2393.8679 0.010457152 3.0532829  0.9651673 0.023544367 0.13083096 0.87597804 2.1184777e-09 66.362733 -19.847797 -19.847797 4827.4315 4827.4315
2 2360.4923 0.010456402 3.0559415 0.96561956 0.023542485  0.1303077 0.88747822 2.1241174e-09 66.501137 -19.847797 -19.847797 4760.6801 4760.6801
